,name,nationality,clubName,ErrChance,ErrGoal,PossLostP90,OffsideP90
202,Riyad Mahrez,Algeria,Manchester City FC,1,0,14.28,0.60
203,Maty Ryan,Australia,Brighton & Hove Albion FC,2,0,7.40,0.00
204,Muhamed Bešić,Bosnia and Herzegovina,Sheffield United FC,0,0,9.18,0.00
205,Daryl Janmaat,Netherlands,Watford FC,0,0,15.84,0.00
206,Georginio Wijnaldum,Netherlands,Liverpool FC,2,0,7.94,0.03
207,Serge Aurier,Côte d’Ivoire,Tottenham Hotspur FC,0,0,17.47,0.20
208,Lucas Digne,France,Everton FC,0,0,21.29,0.09
209,Christian Atsu,Ghana,Newcastle United FC,0,1,13.39,0.49
210,Jordan Ayew,Ghana,Crystal Palace FC,0,0,12.53,0.25
211,Jeffrey Schlupp,Ghana,Crystal Palace FC,0,0,13.04,0.09
212,Alireza Jahanbakhsh,Iran,Brighton & Hove Albion FC,0,0,20.82,0.30
213,DeAndre Yedlin,United States,Newcastle United FC,0,0,11.08,0.19
214,Fabian Schär,Switzerland,Newcastle United FC,0,1,12.97,0.11
215,Granit Xhaka,Switzerland,Arsenal FC,3,0,10.14,0.00
216,Josip Drmić,Switzerland,Norwich City FC,1,0,12.59,0.99
217,Raúl Jiménez,Mexico,Wolverhampton Wanderers FC,1,0,14.39,0.52
218,Carlos Sánchez,Colombia,West Ham United FC,0,0,9.56,0.00
219,Isaac Hayden,England,Newcastle United FC,0,0,10.84,0.08
220,Alex Iwobi,Nigeria,Everton FC,0,1,12.75,0.00
221,Mohamed Salah,Egypt,Liverpool FC,1,0,14.53,0.62
222,Dwight Gayle,England,Newcastle United FC,0,0,8.28,0.22
223,Étienne Capoue,France,Watford FC,0,0,11.73,0.00
224,Erik Lamela,Argentina,Tottenham Hotspur FC,0,0,16.07,0.07
225,Harry Winks,England,Tottenham Hotspur FC,1,0,9.66,0.00
226,Patrick Roberts,England,Norwich City FC,0,0,,
227,Jorginho,Italy,Chelsea FC,2,0,12.20,0.00
228,Christian Fuchs,Austria,Leicester City FC,0,1,17.77,0.12
229,Jannik Vestergaard,Denmark,Southampton FC,1,0,13.65,0.00
230,Roberto Firmino,Brazil,Liverpool FC,1,0,12.61,0.18
231,Mario Vrančić,Bosnia and Herzegovina,Norwich City FC,1,1,18.26,0.14
232,Sadio Mané,Senegal,Liverpool FC,2,0,14.83,0.46
233,Valentino Lazaro,Austria,Newcastle United FC,0,0,11.22,0.00
234,Willy Caballero,Argentina,Chelsea FC,0,0,8.20,0.00
